date,crs,width,height,count,dtype,res_x,res_y,valid_pixels,valid_fraction_of_bbox_pixels,ndvi_min,ndvi_max,ndvi_mean,fai_min,fai_max,fai_mean,quality_min,quality_max,source_terra_pixels,source_aqua_pixels,source_other_pixels,nodata
20240721,EPSG:32651,223,151,5,float32,500.0,500.0,11,0.0003266712202654946,0.2512512505054474,0.6257396340370178,0.3609026995572177,0.024885930120944977,0.15577778220176697,0.07769252529198473,80.0,100.0,10,1,0,-9999.0
20240722,EPSG:32651,223,151,5,float32,500.0,500.0,155,0.004603094467377424,-0.9871520400047302,0.9329268336296082,-0.159248018168634,-0.04061075299978256,0.2992970943450928,-0.0011510570285721653,75.0,100.0,0,155,0,-9999.0
20240723,EPSG:32651,223,151,5,float32,500.0,500.0,496,0.014729902295607757,-0.9764705896377563,0.9950186610221863,0.04425411281502625,-0.03203055262565613,0.24745094776153564,0.024375978145643226,60.0,100.0,6,490,0,-9999.0
20240724,EPSG:32651,223,151,5,float32,500.0,500.0,562,0.016689929617200724,-0.990338146686554,0.7661665678024292,-0.09642837868503783,-0.05422753840684891,0.2789510488510132,0.0142746639101208,55.0,100.0,242,320,0,-9999.0
20240725,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240726,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240727,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240728,EPSG:32651,223,151,5,float32,500.0,500.0,60,0.0017818430196299706,-0.13465426862239838,0.9722562432289124,0.16486317213178456,-0.027272764593362808,0.21923668682575226,0.054033346561482176,75.0,100.0,60,0,0,-9999.0
20240729,EPSG:32651,223,151,5,float32,500.0,500.0,8431,0.2503786416416714,-0.8999999761581421,0.7920068502426147,-0.12450099925544497,-0.06276301294565201,0.37156662344932556,0.01279612005126504,55.0,100.0,5295,3136,0,-9999.0
20240730,EPSG:32651,223,151,5,float32,500.0,500.0,8914,0.2647224779496926,-0.9945651888847351,0.8336384892463684,-0.2912658914379504,-0.06448834389448166,0.3827098608016968,-0.013568249000516314,55.0,100.0,7970,944,0,-9999.0
20240731,EPSG:32651,223,151,5,float32,500.0,500.0,2472,0.0734119324087548,-0.9757575988769531,0.8856514692306519,-0.15350565877032893,-0.0646406039595604,0.2592872381210327,0.0072501547302366715,55.0,100.0,956,1516,0,-9999.0
