date,crs,width,height,count,res_x,res_y,nodata,valid_pixels,valid_area_km2,ndvi_min,ndvi_max,ndvi_mean,fai1640_min,fai1640_max,fai1640_mean,fai1240_min,fai1240_max,fai1240_mean,source_terra_pixels,source_aqua_pixels,fai1240_ge_-0.004,fai1240_ge_0,fai1240_ge_0.03,fai1240_ge_0.05,fai1240_ge_0.0693,fai1240_ge_0.1
20240627,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240628,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240629,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240630,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240701,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240702,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240703,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1879,469.75,-0.9887005686759949,0.9965397715568542,-0.3993486796206874,-0.08028552681207657,0.27825498580932617,-0.017577508093153303,-0.06217697635293007,0.2307179868221283,-0.01237458532082934,1775,104,238,228,202,183,158,118
20240704,EPSG:32651,144,139,6,500.0,500.0,-9999.0,89,22.25,-0.3448275923728943,0.7535513639450073,0.06657547093509289,-0.041901908814907074,0.20313939452171326,0.017494839501666595,-0.03201042115688324,0.1914067268371582,0.013958931398274524,87,2,47,41,27,14,8,4
20240705,EPSG:32651,144,139,6,500.0,500.0,-9999.0,2274,568.5,-0.9940652847290039,0.9905325174331665,-0.44637407735727314,-0.041414774954319,0.2881288528442383,-0.01183533168610504,-0.049154285341501236,0.23386672139167786,-0.008976358029639692,0,2274,279,254,202,168,156,116
20240706,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240707,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240708,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240709,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240710,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240711,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240712,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240713,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240714,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240715,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240716,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240717,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240718,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1819,454.75,-0.9933993220329285,0.9522404074668884,-0.3750964063798283,-0.044937990605831146,0.32011356949806213,-0.012927227293640119,-0.049785714596509933,0.24782723188400269,-0.008950411171541401,1819,0,176,152,109,94,74,59
20240719,EPSG:32651,144,139,6,500.0,500.0,-9999.0,478,119.5,-0.9735099077224731,0.9827451109886169,-0.2603319532327572,-0.03775879368185997,0.15174652636051178,-0.015540238147992134,-0.02871512621641159,0.119661346077919,-0.009413266336500536,478,0,60,49,32,25,10,2
20240720,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240721,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1,0.25,0.2648681700229645,0.2648681700229645,0.2648681700229645,0.0749044194817543,0.0749044194817543,0.0749044194817543,0.062164537608623505,0.062164537608623505,0.062164537608623505,0,1,1,1,1,1,0,0
20240722,EPSG:32651,144,139,6,500.0,500.0,-9999.0,152,38.0,-0.9849624037742615,0.9329268336296082,-0.1434629009546418,-0.04061075299978256,0.2992970943450928,-0.00045088980895295546,-0.031580839306116104,0.2516043782234192,-0.0009446495080881409,0,152,34,33,24,21,21,8
20240723,EPSG:32651,144,139,6,500.0,500.0,-9999.0,350,87.5,-0.9714285731315613,0.9950186610221863,-0.0682387234935803,-0.03203055262565613,0.24745094776153564,0.007220681366909828,-0.025271764025092125,0.20097915828227997,0.005602304885479888,0,350,105,94,46,45,38,16
20240724,EPSG:32651,144,139,6,500.0,500.0,-9999.0,305,76.25,-0.978723406791687,0.6641366481781006,-0.4240678499345897,-0.05422753840684891,0.2789510488510132,-0.025021233152050418,-0.04163714125752449,0.26560908555984497,-0.017669920782085326,7,298,26,26,18,16,14,6
20240725,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240726,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240727,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240728,EPSG:32651,144,139,6,500.0,500.0,-9999.0,56,14.0,-0.13465426862239838,0.9722562432289124,0.1524047303329488,-0.027272764593362808,0.21923668682575226,0.05177814775587259,-0.013242521323263645,0.17618991434574127,0.04827571710172508,56,0,54,52,31,21,12,8
20240729,EPSG:32651,144,139,6,500.0,500.0,-9999.0,6764,1691.0,-0.7507987022399902,0.7920068502426147,-0.2504826193048195,-0.06276301294565201,0.3431811034679413,-0.013157022957617916,-0.07300789654254913,0.2852136194705963,-0.005646415802084636,3839,2925,1483,1347,914,727,613,427
20240730,EPSG:32651,144,139,6,500.0,500.0,-9999.0,7496,1874.0,-0.9826086759567261,0.8336384892463684,-0.38310165110942856,-0.06448834389448166,0.31105396151542664,-0.02774941812409571,-0.05789025127887726,0.26120704412460327,-0.01832379239693516,6634,862,852,799,597,495,419,313
20240731,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1504,376.0,-0.9757575988769531,0.8856514692306519,-0.45483552864080845,-0.0646406039595604,0.2592872381210327,-0.033212916684436655,-0.055419497191905975,0.24079276621341705,-0.025018187240448242,168,1336,143,133,96,76,67,50
