date,observed_pixels,interpolated_pixels,missing_pixels,observed_fraction,interpolated_fraction,missing_fraction
20240625,0,4003,10036,0.0,0.2851342688225657,0.7148657311774342
20240626,0,3855,10184,0.0,0.27459220742218104,0.725407792577819
20240627,0,3855,10184,0.0,0.27459220742218104,0.725407792577819
20240628,0,3845,10194,0.0,0.27387990597620915,0.7261200940237909
20240629,0,3029,11010,0.0,0.21575610798489922,0.7842438920151008
20240630,0,3029,11010,0.0,0.21575610798489922,0.7842438920151008
20240701,0,3029,11010,0.0,0.21575610798489922,0.7842438920151008
20240702,0,3029,11010,0.0,0.21575610798489922,0.7842438920151008
20240703,1502,1617,10920,0.10698767718498468,0.11517914381366194,0.7778331790013534
20240704,51,3038,10950,0.00363273737445687,0.21639717928627394,0.7799700833392692
20240705,2103,1096,10840,0.149796994087898,0.07806823847852411,0.7721347674335779
20240706,0,3100,10939,0.0,0.22081344825129995,0.7791865517487
20240707,0,3100,10939,0.0,0.22081344825129995,0.7791865517487
20240708,0,3962,10077,0.0,0.28221383289408075,0.7177861671059192
20240709,0,4168,9871,0.0,0.29688724268110267,0.7031127573188973
20240710,0,4168,9871,0.0,0.29688724268110267,0.7031127573188973
20240711,0,4169,9870,0.0,0.2969584728256998,0.7030415271743001
20240712,0,4222,9817,0.0,0.30073367048935107,0.6992663295106489
20240713,0,4284,9755,0.0,0.3051499394543771,0.6948500605456229
20240714,0,3652,10387,0.0,0.2601324880689508,0.7398675119310493
20240715,0,3632,10407,0.0,0.25870788517700694,0.7412921148229931
20240716,0,2377,11662,0.0,0.16931405370752903,0.830685946292471
20240717,0,2377,11662,0.0,0.16931405370752903,0.830685946292471
20240718,1699,856,11484,0.12102001567063181,0.06097300377519766,0.8180069805541705
20240719,478,5370,8191,0.034048009117458505,0.38250587648692924,0.5834461143956122
20240720,0,6986,7053,0.0,0.497613790155994,0.502386209844006
20240721,1,7018,7020,7.123014459719353e-05,0.4998931547831042,0.5000356150722985
20240722,149,6898,6992,0.010613291544981836,0.491345537431441,0.4980411710235772
20240723,279,6817,6943,0.019873210342616996,0.4855758957190683,0.4945508939383147
20240724,277,6830,6932,0.01973075005342261,0.48650188759883184,0.49376736234774554
20240725,0,7086,6953,0.0,0.5047368046157134,0.49526319538428665
20240726,0,7086,6953,0.0,0.5047368046157134,0.49526319538428665
20240727,0,7086,6953,0.0,0.5047368046157134,0.49526319538428665
20240728,56,7030,6953,0.003988888097442838,0.5007479165182706,0.49526319538428665
20240729,5753,1864,6422,0.40978702186765437,0.13277298952916874,0.45743998860317686
20240730,6605,102,7332,0.4704751050644633,0.00726547474891374,0.522259420186623
20240731,1207,0,12832,0.08597478452881259,0.0,0.9140252154711874
