date,crs,width,height,count,nodata,valid_pixels,valid_area_km2,ndvi_min,ndvi_max,ndvi_mean,fai1640_min,fai1640_max,fai1640_mean,fai1240_min,fai1240_max,fai1240_mean
20240529,EPSG:32651,101,139,6,-9999.0,1293,323.25,-0.2636127769947052,0.16271069645881653,-0.21959280694726124,-0.052742209285497665,0.052587538957595825,-0.04377405767290142,-0.03978151082992554,0.05012806877493858,-0.03289236512095635
20240530,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240531,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240601,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240602,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240603,EPSG:32651,101,139,6,-9999.0,1301,325.25,-0.9893617033958435,0.8464658260345459,-0.4155155442637906,-0.05622231215238571,0.2684840261936188,-0.037367956728590716,-0.04376420006155968,0.21959394216537476,-0.028410893721759412
20240604,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240605,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240606,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240607,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240608,EPSG:32651,101,139,6,-9999.0,687,171.75,-0.9960707426071167,0.9963269233703613,-0.3709148461679661,-0.060717687010765076,0.33847156167030334,-0.030020998337314895,-0.04590436816215515,0.2660368084907532,-0.022483184374292725
20240609,EPSG:32651,101,139,6,-9999.0,35,8.75,-0.9056603908538818,0.4351496398448944,-0.29663599729537965,-0.048955075442790985,0.05736361816525459,-0.02307948326425893,-0.03805781528353691,0.060172438621520996,-0.014560187268736107
20240610,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240611,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
